Unnamed: 0,Premise,Conclusion,Stance,XLNetLargePredictions,SBERTPredictions,BERTLargePredictions
1044,the use of public defenders shouldn't be mandatory because people should be able to pick their lawyers not have one forced on them.,the use of public defenders should be mandatory.,against,against,in favour of,against
1045,no more immigration from non-european or non-first world countries.,we should remove unauthorized asylum seekers or migrants.,in favour of,in favour of,in favour of,in favour of
1046,"payday loans have incredibly abusive interests rates, sometimes in the triple digits, which are unfair to those that are in desperate need of financial assistance.",payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
1047,the gaza strip is particularly important to israel because of the strategic location of the strip. there is no way to have a barrier between israel & gaza so they can distance themselves from the rockets.,blockade of the gaza strip should be ended.,against,in favour of,against,in favour of
1048,entrapment is sometimes the only way to catch someone.,entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
1049,the blockade unduly harms palestinian women and children and is part of an illegal occupation.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
1050,there is no difference between assisted suicide and being an accessory to murder.  suicide is immoral and those that help should be punished.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1051,people suffering with no chance for recovery deserve to choose this type of death to end suffering and loss of dignity.,assisted suicide should be a criminal offence.,against,against,in favour of,against
1052,everyone is entitled to the right to believe or disbelieve the  holocaust.,holocaust denial should be a criminal offence.,against,against,against,against
1053,many people face a cruel and protracted period of suffering before their death so with compassion they should be helped therefore assisted suicide should not be a criminal offence.,assisted suicide should be a criminal offence.,against,against,against,against
1054,homeopathy has no scientific evidence of efficacy and is equivalent to simply taking no medical action at all.,homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1055,"entrapment should be legalized because it can be useful to weed out all the criminals. if you are entrapped, your true self will show if you commit a crime.",entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
1056,payday loans should not be banned as they are a lifeline to many people and if used properly provided a useful way of ensuring money lasts until the next pay day.,payday loans should be banned.,against,against,against,against
1057,"iq tests can make test-takers discouraged if they receive a bad score. they may not make an effort to succeed, since they already expect to fail.",intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
1058,our workforce is too focused on white collar jobs and we need hands on dirty work to keep america running.,we should subsidize vocational education.,in favour of,in favour of,in favour of,against
1059,the holocaust was a crime against humanity and by making it criminal to deny it happened you would stop it from happening again.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1060,"vehicular pollution is one of the major causes of air pollution. by switching to electric vehicles, we can solve this issue. as per the report by the government, with this move, carbon emissions will be reduced by 37% by the year 2030. this will also help in our fight against climate change. as india is committed to bringing down its share of global emissions by 2030 as per the paris climate agreement, replacing diesel and petrol vehicles with electric vehicles will help us in achieving this goal.",india should transition to electric vehicles.,in favour of,in favour of,in favour of,in favour of
1061,"the harm against the citizens of gaza is justified because those citizens democratically elected hamas into power, and endorsed the actions of hamas against israel.",blockade of the gaza strip should be ended.,against,against,in favour of,in favour of
1062,intelligence tests helps to find out gifted kids.,intelligence tests bring more harm than good.,against,against,against,against
1063,criminals should be caught and not allowed to continue to harm society.  entrapment is an effective means of catching them.,entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
1064,intelligence tests often help children excel by allowing them to be placed in appropriate classes or programs based on their individual abilities.,intelligence tests bring more harm than good.,against,against,against,against
1065,everyone should have the same level of legal council.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
1066,it is a simplified method of finding people who's criminal bahaviour may otherwise often fly under the radar for a very long time.,entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
1067,"in addition to this, schools and companies canteens should be required to serve mainly plant-based meals in order to reduce their impact and to educate their users.",we should promote a plant-based diet.,in favour of,in favour of,in favour of,in favour of
1068,social media brings more good than harm because users are able to keep in touch with family and friends who do not live close to them.,social media brings more harm than good.,against,against,against,in favour of
1069,assisted suicide is murder and should be banned.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1070,the use of public defenders should be mandatory so that the trial system can be streamlined with more consistent defense practices.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
1071,some children are abused in their foster homes.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1072,"if entrapment can be used to get criminals off the streets, why should it be banned?.",entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
1073,it is a platform that can harbor bullying and intimidation.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1074,"some sick people don't want to go on suffering, and this is the way they want.",assisted suicide should be a criminal offence.,against,against,against,against
1075,churches that promote celibacy do so for reasons of their faith and we have no right to say they should abandon those beliefs.,the vow of celibacy should be abandoned.,against,against,against,against
1076,"the holocaust was a serious event that affected many, and denying that it happened is an insult to those who died during it, those who lived through it, and those still living with it.",holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1077,"foster care providers are afforded a stipend for each child they take in, leading to the unfortunate situation of too many people taking advantage of the system and providing inadequate care in exchange for government funds.",foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1078,"teenage pregnancies increase the risk of high blood pressure, anemia, and several other health problems. it can also lead to the death of the mother due to pregnancy complications. so, raising the age of marriage for girls can reduce the chance of maternal mortality.",indian government should increase the minimum legal age of marriage for girls from 18 to 21 years.,in favour of,in favour of,in favour of,in favour of
1079,homeschooling is sometimes the only possibility for children who live in remote isolated areas.,homeschooling should be banned.,against,against,against,against
1080,"the vow of celibacy shouldn't be abandoned - people should be allowed to do whatever they want to do,.",the vow of celibacy should be abandoned.,against,against,against,against
1081,it should be legal so that more crimials can be caught and pay for their crimes.,entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
1082,orphanages cannot give kids the personal care that foster parents can.,foster care brings more harm than good.,against,in favour of,in favour of,in favour of
1083,blockade of the gaza strip is a bargaining tool to ensure the safety of israel in a volatile region.,blockade of the gaza strip should be ended.,against,against,against,against
1084,subsidising vocational education would encourage more people into useful trades where they can find employment at the end of their course.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
1085,the consequences of denying the horrors of the holocaust are too dangerous to allow.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1086,this is a huge discrimination.  everyone should have the chance to develop to a personal level. or should we all do an iq-test to stay in our country? because it could avoid dangerous things like rasicm. .,we should impose an iq test to immigrants.,against,in favour of,in favour of,against
1087,"this is a constitutional right under the 6th amendment so yes, it absolutely should be mandatory to protect this important right to defence.",the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
1088,"if a person is able to afford better, more experienced attorneys to give them a better chance in court, then they should be able to.  public defenders are for those who can not afford the more expensive ones.",the use of public defenders should be mandatory.,against,in favour of,in favour of,in favour of
1089,intelligence tests have been a tool used by eugenicists to argue for the culling of certain racial and ethnic groups.,intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
1090,i disagree. national sovereignty is excellent for big and strong nations like china or usa. but if you're from a medium or small-sized country then 'national sovereignty' doesn't really exist. simply because superpowers can force you to act in their interest. strength brings sovereignty. eu sovereignty is much stronger than any nation in europe. we need to focus on finding the right balance between national and european sovereignty.,"we should stop brussels from imposing ideologies, concrete policies to develop in exchange for financial aid, interference in agricultural production or legislating in judicial matters.",against,against,in favour of,against
1091,this linking can clear the path to internet voting or e-voting.,we should link aadhaar card with the voter id.,in favour of,in favour of,in favour of,in favour of
1092,vocational education is just as important as college because there is a great need to blue collar workers.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
1093,surrogacy should be banned because it can lead to explotation of women by criminal gangs to make money out of them.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
1094,payday loans only serve to get people into more money troubles.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
1095,"the use of public defenders ensures that everybody, irrespective of status, has access to legal representation: this is a basic human right.",the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
1096,"we should abandon television it projects dangerous norms of beauty and success, and time can be better spent not looking at a screen.",we should abandon television.,in favour of,in favour of,in favour of,in favour of
1097,foster care families  provide loving homes for children who need support.,foster care brings more harm than good.,against,against,against,against
1098,"it has beeen widely proven that social media deteriorates mental health for users, with even the social media companies admitting this.",social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1099,foster care can help the child find the loving home they need.,foster care brings more harm than good.,against,against,against,against
1100,surrogacy helps those not able to conceive have a family.,surrogacy should be banned.,against,against,against,against
1101,the traditional right to choose your own defender to represent you has worked well for centuries and should never be changed.,the use of public defenders should be mandatory.,against,against,in favour of,in favour of
1102,sometimes the only way that people can have children of their own is by having a surrogate to carry the child.,surrogacy should be banned.,against,against,against,against
1103,genetic diseases affect only a minority. the majority doesn't understand the pain and politicizes the situation.,human gene editing is a good thing.,in favour of,against,in favour of,against
1104,surrogacy enables infertile couples to raise their own family.,surrogacy should be banned.,against,against,against,against
1105,"to reduce poverty and inequalities, the eu should develop a legal framework guaranteeing minimum social standards, including decent living and working conditions as well as adequate social protection.",we should implement minimum eu social standards.,in favour of,in favour of,in favour of,in favour of
1106,we should subsidize not vocational education because it is unfair to make taxpayers subsidize some people's education.,we should subsidize vocational education.,against,against,in favour of,against
1107,"any subsidy for education after school is unnecessary, the right to access education ends at 16 at which point people can fund their own adult decisions.",we should subsidize vocational education.,against,against,in favour of,against
1108,social media is dangerous and out of control.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1109,vocational education should be subsidized as the majority of those studying would be from lower income families.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
1110,homeschooling can put children at a disadvantage if their parents are not intelligent enough to provide a good education.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
1111,vocational education is already pretty inexpensive and a graduate of a vocational school should be able to pay off the fees very quickly.,we should subsidize vocational education.,against,in favour of,in favour of,in favour of
1112,the nrc body and the foreign tribunals in assam are functioning behind the curtains and its functioning is clearly signaling toward the ruling party’s agenda of getting rid of minorities. earlier retired judges were carefully selected for foreign tribunals but now any lawyer who is above 50 on 25 april 2015 and has 10 years of experience can volunteer for ft and gets a seat. various online sources have reported that the ft is full of people sharing the ruling party’s ideology and are asked to perform well.,we should abolish the national register of citizens (nrc).,in favour of,in favour of,in favour of,against
1113,it is a waste of the government's time and resources to prosecute crimes that would not have occurred without its encouragement.,entrapment should be legalized.,against,against,in favour of,against
1114,social media allows people that are shy to form friendships they otherwise wouldn't have.,social media brings more harm than good.,against,against,against,against
1115,loans only further encourage people to take on debt and buy things they can't afford.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
1116,"children should be allowed to experience interactions with other children, as it helps them develope and grow to be independent adults.",homeschooling should be banned.,in favour of,against,against,against
1117,television is still the best media for watching big events such as the super bowl.,we should abandon television.,against,against,against,against
1118,abandoning the vow goes against many people's religious beliefs.,the vow of celibacy should be abandoned.,against,against,in favour of,against
1119,"where someone is known to have committed a crime but there is insufficient proof to get a conviction, entrapment can provide that proof.",entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
1120,"natural materials have a large carbon footprint. they require fresh water and land, contributing to the pressure on nature and resources around the world. .",we should take polyester and other toxic substances out of clothing and place them with natural materials.,against,against,in favour of,in favour of
1121,social media makes bullying easier.,social media brings more harm than good.,in favour of,in favour of,against,in favour of
1122,legalize entrapment so we can stop crimes before they happen.,entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
1123,people should not have to suffer unduly and a person that assists them in ending it should not be a criminal.,assisted suicide should be a criminal offence.,against,against,in favour of,in favour of
1124,"if holocaust denial is illegal,  it will only go underground and behind closed doors which is just as, if not more, harmful than if it is out in the open.",holocaust denial should be a criminal offence.,against,against,in favour of,against
1125,surrogacy is no different than any other contract or profession in terms of selling labor.,surrogacy should be banned.,against,against,against,against
1126,parents have an absolute choice to determine how their children should be educated.,homeschooling should be banned.,against,against,against,against
1127,there is a lot of violence and sex on television that is not appropriate for children.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
1128,there is a serious shortage of priests and this can be remedied by abandoning the vow of celibacy.,the vow of celibacy should be abandoned.,in favour of,in favour of,in favour of,in favour of
1129,home-schooled children aren't socialized properly and may have difficulty adapting to the general populace.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
1130,surrogacy is not natural and may lead to issues with maternal relationships and therefore it should be banned.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
1131,holocaust denial is racist propaganda and is used to incite people to violence against jews.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1132,a government ban on payday loans is the only way to protect those most vulnerable.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
1133,i have also seen ex-soldiers shaking after someone sets off loud fireworks. yes they should be banned.  abhorrent things.,we should limit the use of fireworks.,in favour of,in favour of,in favour of,in favour of
1134,surrogacy enables families who are unable to have their own children a way to realize their dreams of having a family.,surrogacy should be banned.,against,against,against,against
1135,"foster care children may have many adverse outcomes that persist throughout childhood, such as poor peer relationships, behavioral problems, or other mental health difficulties.",foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1136,some people are very intelligent but have a difficult time when it comes to taking tests.  therefore they could be labeled as less intelligent as they really are.,intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
1137,foster care is a broken system that most people can abuse the kids in the system.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1138,homeschooling keeps children from learning to work in a group.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
1139,"social media has some harms but brings more good. it makes people happy, otherwise they wouldn't use it. also, it allows people to connect from all around the world which increases social awareness.",social media brings more harm than good.,against,against,against,in favour of
1140,payday loans take advantage of people in desperate situations.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
1141,assisted suicide ought to be a criminal offence because killing someone isn't right no matter what situation.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1142,vocational education can be used as the easy way out for students not willing to put in the work of real college.,we should subsidize vocational education.,in favour of,against,in favour of,in favour of
1143,it's high time that all broadcasting stations in the eu stimulate their journalists to cover european news as well.,we should open free training centers for the epso competition.,in favour of,in favour of,in favour of,in favour of
1144,celibacy is an outdated proactive the vow should be abandoned.,the vow of celibacy should be abandoned.,in favour of,in favour of,in favour of,in favour of
1145,"entrapment is in essence encouraging a crime, and as such is surely indirectly a criminal offence in itself.",entrapment should be legalized.,against,against,in favour of,against
1146,homeschooling allows the child to get more direct instruction and can be completed at their speed and not someone else's.,homeschooling should be banned.,against,against,against,against
1147,the organization of mass migration is a heinous crime. no more immigration from non-european or non-first-world countries.,we should stop immigration.,in favour of,in favour of,in favour of,in favour of
1148,the  middle east is really no longer a threat to anyone and the blockade should end.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
1149,"holocaust denial is protected under free speech so long as the people are merely denying it and not being violent about it, who are we to say they can't.",holocaust denial should be a criminal offence.,against,against,against,in favour of
1150,just the practice of home schooling alone shapes the child in a negative fashion.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
1151,we would have to change asylum rules. illegal immigrants will claim asylum after entering the country to attempt to make their entry legal. it then becomes a massive pain to deport them. illegal entries must result in an automatic rejection of asylum claims.,we should punish illegal immigrants and only accept legal immigrants.,in favour of,in favour of,in favour of,in favour of
1152,homeschooling should not be banned as it is the only option for some children with complex medical or mental health needs.,homeschooling should be banned.,against,against,against,against
1153,"iq is not an effective measure of whether they'll be economically beneficial, suited to european jobs  in high demand, likely to integrate/assimilate, their potential to cause crime etc.",we should impose an iq test to immigrants.,against,against,in favour of,against
1154,if subsidies were put into place for vocational education then other areas of education would also want subsidies and this would cost the government far too much to implement.,we should subsidize vocational education.,against,against,in favour of,against
1155,the right to be defended by competent and effective lawyers is a constitutional right.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
1156,"for a company, social media platforms are a great way to keep in touch with their customer base and showcase new products.",social media brings more harm than good.,against,against,against,against
1157,it should be ended because it has massive implications on the economy in gaza and is holding it back.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
1158,helping someone to commit suicide is no different than murder and needs to be a criminal offence. life is sacred and must always be seen as such.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1159,entrapment is a deceptive method of catching criminals and wastes time and resources that would be better put to use catching active criminals.,entrapment should be legalized.,against,against,in favour of,against
1160,"according to multiple studies, children who go through the foster care system are more likely to deal with mental health issues and disorders than their peers.",foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1161,the inhabitants of gaza have the right to be free and proper and we must fight with them.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
1162,"people possess many different forms of i q, from logical iq to emotional iq and that might not always be highlighted in standard iq tests.",intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
1163,"home schooling deprives children from the natural interaction with other kids their age, make new friends, and learn how to engage with children who are different than them.",homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
1164,foster care can put in healthy homes children with problems.,foster care brings more harm than good.,against,against,against,against
1165,television brings a good form of entertainment and education into the home environment.,we should abandon television.,against,against,against,against
1166,"i fully agree that the recreational drugs that cause the least harm should be legalized. it is an illusion that the smuggling of such drugs can be controlled. billions of euros have been spent trying to combat smuggling but have not reduced the supply of such drugs. legalization of the least harmful drugs will allow the quality of the drugs to be controlled (hence reducing harm); reduce exposure to more harmful drugs (because dealers currently introduce users of soft drugs to harder drugs), and cut out a significant source of drug dealer revenues.",we should legalize non-violent drug use.,in favour of,in favour of,in favour of,in favour of
1167,not allowing a public defender for less well of defendants who do not meet the income requirements of the poor will make these people poor with outside legal fees.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,against
1168,the vow of celibacy is an outdated concept that causes unnecessary stress on those who take them.,the vow of celibacy should be abandoned.,in favour of,in favour of,in favour of,in favour of
1169,homeopathy is an affordable way to treat yourself.,homeopathy brings more harm than good.,against,against,against,against
1170,"the blockade has hit israeli businesses which long sold into gaza and bought gaza's fruit, flowers and other goods.",blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
1171,we live in a free and open society if people choose to be celibate then we should respect their choice.,the vow of celibacy should be abandoned.,against,against,against,against
1172,entrapment should be allowed to help police in tackling crime.,entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
1173,the vow of celibacy should be abandoned because it is not natural.,the vow of celibacy should be abandoned.,in favour of,in favour of,in favour of,in favour of
1174,intelligence tests have been known to help students be comfortable learning and studying among their peers based on aptitude.,intelligence tests bring more harm than good.,against,against,against,against
1175,people who provide foster care do so because they want to provide a loving home for children.,foster care brings more harm than good.,against,against,against,against
1176,some people are arguing that english is not born in india and hence we should avoid using it. this statement lacks logic because all the technological innovations we are now using were born in different parts of the world. we cannot reject things just because they are not indian.,hindi should be the national language of india.,against,against,in favour of,against
1177,"homeopathic treatments generally don't improve the patients' conditions and are often used as a replacement for conventional care, which would be more helpful.",homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1178,"people have freedom of speech, and ignorance does not equal a criminal offense. if that was true, too many people would be criminals based on the amoint of ignorance out there.",holocaust denial should be a criminal offence.,against,against,in favour of,against
1179,surrogate mothers can become too attached to the babies and suffer emotionally.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
1180,"it gives people a feeling of superiority over others. some people are just not good test takers, it doesn't mean they aren't intelligent.",intelligence tests bring more harm than good.,in favour of,in favour of,against,against
1181,multiculturalism will enhance our society.,we should preserve european culture.,against,against,in favour of,in favour of
1182,bigger financial resources for frontex and military action in syria will stop the conflict.,we should strengthen frontex and control immigration.,in favour of,in favour of,in favour of,in favour of
1183,homeschooling is an excellent alternative for children who are unable to attend normal schools for either emotional or psychological reasons.,homeschooling should be banned.,against,against,against,against
1184,"as several girls are married at 18 years, they are not having financial independence. this is resulting in dependence on their husbands for survival. the dependence will force them to stay in the relationship even if it is abusive. so, raising the minimum legal age for marriage can empower women and can help them in achieving financial independence before marriage.",indian government should increase the minimum legal age of marriage for girls from 18 to 21 years.,in favour of,in favour of,in favour of,in favour of
1185,a reflection on the future of europe needs to identify and involve other actors alongside local and international institutions to fully deploy the founding values of our continent in addressing major global challenges. .,we should strengthen the public role of faith-based communities in environmental protection.,in favour of,in favour of,in favour of,in favour of
1186,surrogacy allows people who couldn't have children naturally to have their own children through a surrogate parent.,surrogacy should be banned.,against,against,against,against
1187,social media allows people to communicate frequently and quickly without having to wait for snail mail.,social media brings more harm than good.,against,against,against,against
1188,a woman giving birth to someone else's child will cause that child to grow up and not understand who their mother is.   it can lead to major depression and a very unhealthy lifestyle.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
1189,"intelligence tests are skewed toward upper class white males, making the test not a true measure of a person's intelligence.",intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
1190,israel has the right to defend itself and the blockade is the best defense before using weapons.,blockade of the gaza strip should be ended.,against,against,against,against
1191,blockade of the gaza strip should not be ended because this territory has turned out to be a very dangerous area.,blockade of the gaza strip should be ended.,against,against,in favour of,against
1192,the gaza strip blockade unfairly effects the women and children of the area and causes many hardships to noncombatants.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
1193,when people are in unbearable pain and suffering and have no chance of getting better it is cruel to keep them alive without their consent.,assisted suicide should be a criminal offence.,against,in favour of,in favour of,in favour of
1194,homeschooling helps kids learn better in an environment where they're comfortable.,homeschooling should be banned.,against,against,against,against
1195,payday loans should  not be banned because some peoples last hope is these kinds of stores.,payday loans should be banned.,against,against,against,against
1196,people using homeopathic remedies instead of conventional medicine are more likely to die from a serious illness.,homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1197,social media is known for damaging the self esteem of adolescents and young adults due to how easy it is to compare yourself and your life to your friends or acquaintances.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1198,"entrapment should be legal since the person was willing to do the illegal deed. they didn't know they were being entrapped, they thought they were really committing a crime.",entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
1199,payday loans should be banned as they take further financial advantage of a person.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
1200,public defenders level the playing field in court.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
1201,"homeopathy is untested and not backed up by scientific evidence, allowing dangerous outcomes where unqualified practicioners can see vulnerable patients.",homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1202,intelligence tests can help to identify struggling or gifted students so that educators can accommodate to each individuals needs.,intelligence tests bring more harm than good.,against,against,against,against
1203,intelligence tests are useful tools for schools and employers.,intelligence tests bring more harm than good.,against,against,against,against
1204,homeschooling does not prepare children for the real world.  the child is not getting the top notch education they need in order to succeed in life.  the children deserve better.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
1205,entrapment encourages people to commit crime. this is not what law enforcement should be doing.  a person is tempted to do something they would normally not do and the police are creating crime not solving it.,entrapment should be legalized.,against,against,in favour of,against
1206,people are meaner to each other online because they can't see each other.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1207,excessive television watching leads to a sedentary lifestyle and obesity.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
1208,prosecuting people who have committed murders would become more complicated if they could claim they were assisting in a suicide.,assisted suicide should be a criminal offence.,in favour of,against,in favour of,in favour of
1209,television has a larger screen  which families can bond and enjoy them together.,we should abandon television.,against,against,against,against
1210,"as per the government data of 2017, the average age of marriage for women is increased to 22.1 years. so, the change is voluntary. the change was mainly due to the improving education among women. so, the solution lies in encouraging education for girls, conducting awareness programs on the importance of education, financial independence and the consequences of teenage pregnancies should be conducted instead of passing a law to bring a real change in society.",indian government should increase the minimum legal age of marriage for girls from 18 to 21 years.,against,against,in favour of,against
1211,vocational education is a great alternative to traditional schools and subsidizing would let more people participate.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
1212,the blockade of the gaza strip is causing over a million people to go hungry for no reason.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
1213,assisted suicide should be a criminal offence because killing is wrong whether it is willingly or not.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1214,surrogacy should  not be banned because it is a important part to prospective infertile parents.,surrogacy should be banned.,against,against,against,against
1215,"people may choose to defend themselves, if they believe it to be in their best interests.",the use of public defenders should be mandatory.,against,against,in favour of,in favour of
1216,assisting a suicide for medical reasons should not be considered a criminal offense because the person is making sound judgements based on someone else's suffering.,assisted suicide should be a criminal offence.,against,against,in favour of,against
1217,why have several eu passports when they actually represent one and the same thing?.,we should introduce a european citizenship.,in favour of,against,in favour of,against
1218,celibacy is responsible for the child abuse cover up by the catholic church.,the vow of celibacy should be abandoned.,in favour of,in favour of,in favour of,in favour of
1219,intelligence tests provide an easy way of assessing the capabilities of individuals.,intelligence tests bring more harm than good.,against,against,against,against
1220,social media connects family members from around the world.,social media brings more harm than good.,against,against,against,against
1221,"foster care provides a safe, secure environment for neglected and abused children.",foster care brings more harm than good.,against,against,against,against
1222,assisting suicide is the same of assisting murder.  both are crimes.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1223,homeschooling may be beneficial in certain situations. such as for children who are being bullied.,homeschooling should be banned.,against,against,against,against
1224,"i don't see how stopping putting a stop to migration will suddenly impact our eco footprint in that extend. firstly, migration is in our nature. without migration you wouldn't be here.  second, the cost of migration is self-sustained.",we should reduce environment pollution by limiting number of people in europe.,against,against,in favour of,in favour of
1225,denial of past atrocities may lead to the rise of idealogies that were responsible for those atrocities.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1226,surrogacy lets a couple choose someone who matches their looks and genetics.,surrogacy should be banned.,against,against,against,against
1227,"i absolutely agree that solar power plants should not be deployed on fertile, arable land & wood should not be cut down to make place for this endeavor. this needs to be regulated swiftly!.",we should not allow solar power plants to be used to damage nature.,in favour of,in favour of,in favour of,in favour of
1228,blockage of the gaza strip strip should be ended because the people should be able to cross the boarder.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
1229,"assisted suicide blurs too many lines with murder - even if the patient ""consents"".",assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1230,television still serves an important role of keeping people informed about the world.,we should abandon television.,against,against,against,against
1231,"people taking payday loans, especially for short periods, are doing it to help them get by and would otherwise go to illegal means.",payday loans should be banned.,against,against,against,against
1232,homeschooled students do not learn necessary social skills.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
1233,"including russia in our sphere of friendship would allow the eu to discuss certain values from within and coax them toward democracy and change. economic partnerships can act as leverage. friendly ties, in time, will bring common views to prevail. .",we should shift the eu policy toward the russian federation.,in favour of,in favour of,in favour of,in favour of
1234,entrapment should not be legalised if it induces a person to commit a crime that they would have otherwise been unlikely to commit.,entrapment should be legalized.,against,against,in favour of,against
1235,"everyone has the right to be wrong sometimes. everyone (immigrants and europeans) should behave well, but i think it depends a lot on the level of inclusion of these people.  if we manage to be a welcoming continent, the people who come will thank us by being part of society.",we should remove unauthorized asylum seekers and migrants.,against,against,in favour of,in favour of
1236,normal men and women need the ability to respond to their sexual needs.,the vow of celibacy should be abandoned.,in favour of,in favour of,against,against
1237,"assisting with suicide is helping kill someone, and should be treated as such. the intent of the victim doesn't matter, murder is murder.",assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1238,"television can be shared by many, allowing to enjoy a show and foster discussion about topics that are being broadcast.",we should abandon television.,against,against,against,against
1239,i think it's unhealthy for a couple to not have sex until marriage.   it can create tension and cause some people to cheat and have sex with another person.,the vow of celibacy should be abandoned.,in favour of,in favour of,in favour of,in favour of
1240,moving from foster carer to carer provides an unstable life which damages esteem.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1241,the blockade of the gaza strip is a reasonable response to the crimes committed by hamas members.,blockade of the gaza strip should be ended.,against,against,against,in favour of
